created_at,ward_id,title,description,sub_category_id,civic_agency_id,location,address,latitude,longitude,ward_title,category_id,category_title,sub_category_title,civic_agency_title,complaint_status_title,comment_count
02-10-2019 12:47,85,Existing road destroyed by BWSSB,"In concern of physically challenged person who is struggling to walk on the damaged road which used to be nice and clean road in a prominent residential area. BWSSB dug up the entire road for sewage connection and eventually they forgot to repair their mess and now people are struggling because of dust and recent rain made the condition even worse where we can’t take our vehicles outside, road is too slippery to ride or to walk",67,10,"460, 2Nd Main Rd, B Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Opposite to basil therapy,12.96565167,77.71611304,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,32
02-12-2019 08:50,85,Garbage and weeds in the lake,There garbage and weeds in the lake there some water drainage where there is garbage too,159,10,"Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Chinnappanahalli lake,12.965225,77.7082431,Dodda Nekkundi,7,Lakes,Maintenance Of Lake Surrounding,BBMP,Resolved,2
2/13/2019 8:51,85,Mud piled up on the both sides of the road but not collected.,Mud and debris is piled up on the sides of the road and both sides of the divider by BBMP contractors for pick up for three weeks now. This mud then gets back again to the same place on the road due to vehicle movement causing huge pollution. Money is paid to contractors to collect the mud on the road but seems they are not paid to collect it and take it away.,66,10,"3, 9Th Main Rd, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560048, India",Near Hanuman Temple,12.97199815,77.7118941,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,2
2/13/2019 9:46,85,Debris dumping and open defecation,"There is a lot of Debris dumping, slums and open defecation by children living in slums in Balaji Enclave ,near Bharathi Towers, Doddanekundi, Bangalore 560037. i had posted a complaint but it was closed as resolved and the issue still is not resolved,if complaints are closed are resolved without resolving it the even 100% resolution is possible instead of the current 93.09% resolution rate",155,10,"Balaji Enclive, Doddanekkundi, Bengaluru, Karnataka 560037, India",Near Bharathi Towers,12.9707953,77.6919057,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,3
2/14/2019 5:57,85,Graphite Main Road  from Kundalahalli colony to Graphite signal i...,"Graphite Main Road  from Kundalahalli colony to Graphite signal is full of mud collected over many weeks on both sides of the divider and along the footpath with no one to pick the colllected mud resulting in road block, pollution and drainage issues.",67,10,"Kundalahalli Colony, Brookefield, Bengaluru, Karnataka, India",NULL,12.9684517,77.7094375,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,4
2/14/2019 19:29,85,BEML Layout entrance from Varthur road.So horrible it is!!! That...,"BEML Layout entrance from Varthur road.So horrible it is!!! That apartment are not maintaining their waste and segregating also. .Always it is open it comes till the road.
couldn't cross sometimes it stinks due to poor management.",155,10,"17Th Cross Road, Beml Layout, Brookefield, Bengaluru, Karnataka, India",NULL,12.9573715,77.7218905,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,4
2/16/2019 11:36,85,Garbage pick up,Pls note that the road is dumped with garbage near Akme Ballet. The street has many hawkers and cobbler(mochi) shack on the road. There is much litter but is is never cleaned up. Request you to get that done asap.,155,10,"Doddanekundi Main Rd, Doddanekkundi, Bengaluru, Karnataka 560037, India",Next to Akme ballet,12.9791046,77.6945023,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
2/16/2019 23:07,85,Open defecation,"Open defecation in the empty plot near Bharathi Towers, the area is filled with shrubs,garbage and debris and the slum dwellers defecate among the shrubs, the stench of human faeces is unbearable, bbmp supervisor refuses to take responsibility claiming its private land, request to either clear the shrubs and debris or otherwise clear the slums",155,10,"31, Balaji Elite, Doddanekundi, Balaji Enclave, Bengaluru, Karnataka 560037, India",Near Bharathi Towers,12.97077439,77.69178768,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,4
2/17/2019 18:53,85,"Too many potholes in front of Udupi park hotel, AECS layout main...","Too many potholes in front of Udupi park hotel, AECS layout main road.",66,10,"New Udupi Park, 60 Feet Rd, Aecs Layout - C Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka, India",NULL,12.9618427,77.716508,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,2
2/17/2019 22:36,85,Too many stray dogs. unable to sleep at night due to barking soun...,Too many stray dogs. unable to sleep at night due to barking sound,77,10,"Plot 7&8, Mv Dwelling, Sri Nivasa Reddy Layout, Aecs Layout, Brookefield, Bengaluru, Karnataka 560037, India",NULL,12.9652082,77.7096825,Dodda Nekkundi,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,5
2/18/2019 8:20,85,There is poles lying at the corner and debris too of the earlier hoarding,There r debris and poles lying around the corner of the earlier hoardings there no path to walk too,32,10,"Varthur Rd, Near Marathahalli Flyover, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",At the corner of purva fountain square,12.9584823,77.7056738,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Removal Of Illegal Posters And Hoardings,BBMP,Resolved,4
2/20/2019 15:59,85,There are many potholes in service road of Doddanekundi ring road...,"There are many potholes in service road of Doddanekundi ring road near Shopping mall.
they were made for electrical work or something long back left unattended",66,10,"Doddanekundi Flyover, Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka, India",NULL,12.9798357,77.6945903,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,1
2/21/2019 7:02,85,There are no people to come an collect waste due to which the people throw wastes in open grounds dat lead to a lot of diseases and smell emits at all times.,Please have people collect waste from my  lane to avoid waste being dumped on open grounds and street.  Or provide us with a bin wherein people can throw waste and the waste management people can come and collect it from there.,155,10,"No. 302, House No. 360, 1St A Cross, Doddanekundi, Bengaluru, Karnataka 560037, India",Sbi Atm,12.96815243,77.69404315,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,4
2/22/2019 16:20,85,Road Excavated,"Road excavated for under ground service line work, but filled properly. Due to traffic, lot of dust forming and causing slow moving traffic.",66,10,"16, 8Th Main Rd, Dodda Nekkundi Extension, Doddanekkundi, Bengaluru, Karnataka 560093, India",Alpine eco road,12.97340361,77.70274572,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Re-opened,3
2/23/2019 6:26,85,Road maintenance is pathetic,Brookfield to till kundanalli colony the maintenance of road is pathetic. From so many months mud and garbage is lying. Please look in your it. The entire main road is  maintained like a dumb.,155,10,"Brookefield, Bengaluru, Karnataka, India",Brookfield mall,12.9712301,77.7148376,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,4
2/24/2019 11:11,85,There is no proper for path in entire AECS layout main road. and...,There is no proper for path in entire AECS layout main road. and a lot of people are forced to walk on main road itself which is dangerous. want adequate footpaths,422,10,"60 Feet Main Road, Aecs Layout - A Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka, India",NULL,12.963912,77.7068755,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Repair Of Existing Footpaths,BBMP,Open,0
2/27/2019 19:05,85,Lane making at Kundalahalli gate signal,Lane making at Kundalahalli gate signal,347,10,"Kundalahalli, Brookefield, Bengaluru, Karnataka, India",NULL,12.9689968,77.7208853,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Need Lane Markings/Street Name/Road Signages,BBMP,Open,1
2/28/2019 8:44,85,"So many fishes are died in D block, kundahalli lake","So many fishes are died in D block, kundahalli lake",77,10,"924, 7Th Main Rd, Aecs Layout - C Block, Aecs Layout, Brookefield, Bengaluru, Karnataka 560037, India",NULL,12.9600887,77.7094814,Dodda Nekkundi,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,6
2/28/2019 17:21,85,Pvt buses and mini vans cause traffic congestion between Brookfie...,"Pvt buses and mini vans cause traffic congestion between Brookfield hospital and Graphite signal. They stop the vehicles beyond 5 mins at busstop which piles up the traffic behind. If they follow traffic discipline like other buses, it will help in easing the traffic situation.",67,10,"Cmrit College, Itpl Main Road, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka, India",NULL,12.9676924,77.7143853,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,1
03-05-2019 19:25,85,"Heavy trucks carrying sand ,mud through peak times on city roads/...","Heavy trucks carrying sand ,mud through peak times on city roads/ ring roads without any covering on the material increasing air pollution and trafic jams",44,7,"Rainbow Children’S Hospital, Ferns City, Doddanekkundi, Bengaluru, Karnataka, India",NULL,12.9754132,77.6978502,Dodda Nekkundi,11,Pollution,Air Pollution,KSPCB,Open,0
03-11-2019 11:13,85,Shiva temple road in Doddanekundi is broken and temple getting du...,Shiva temple road in Doddanekundi is broken and temple getting dusty due to broken roads and dust.kindly look into this issue.,67,10,"Doddanekkundi, Gururaja Layout, Doddanekundi, Bengaluru, Karnataka 560037, India",NULL,12.9689604,77.6933289,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Open,0
03-12-2019 08:29,85,Street light here is not working since very long and feels scared...,"Street light here is not working since very long and feels scared for women and other people who stay close by. near back gate of SLS Sunny Garden, Wasa Layout, Doddanekundi 560037",62,10,"148, 6Th Cross Rd, Nisarga Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India",NULL,12.972038,77.6977765,Dodda Nekkundi,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,Resolved,4
03-12-2019 08:39,85,"Street light is wrongly aligned, no use of this light with this p...","Street light is wrongly aligned, no use of this light with this position, 6th cross, Wasa Layout, Doddanekundi 560037",62,10,"Park Villa, 20, 6Th Main, Wasa Layout, Doddanekundi, Doddenakundi, Bengaluru, Karnataka 560037, India",NULL,12.9705519,77.697466,Dodda Nekkundi,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,Resolved,2
3/14/2019 9:22,85,Exactly at Kundanhalli Signal Middle there is pothole type bump o...,"Exactly at Kundanhalli Signal Middle there is pothole type bump or improper part of the road from last 6 months, please correct that,",67,10,"Kundalahalli, Brookefield, Bengaluru, Karnataka, India",NULL,12.9689968,77.7208853,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,On-the-Job,2
3/17/2019 14:00,85,Shiva temple road is full of dust and garbage.Please consider thi...,Shiva temple road is full of dust and garbage.Please consider this as priority in Doddanekundi,66,10,"Doddanekkundi, Bengaluru, Karnataka, India",NULL,12.9771994,77.7018941,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Open,1
3/17/2019 22:07,85,BBMP Damaged my underground electrical cable,"BBMP contractors dug up our lane for laying new Sanitary pipes couple of days back. While digging they cut my underground electric cable that provides power to my house. On insisting to change the cable, they just joined the cut cables with tape and left and they told me they cannot do anything more. The cables are still open and dangerous when in contact with water. For replacing the underground cable and further digging inside my compound to connect to the meter board, it is costing me 20K to 25K rupees. The BBMP contractor has washed off his hands and I am forced to pay. Will BBMP compensation for the damage?",42,NULL,"118, Sri Nivasa Reddy Layout, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India","Behind Ganesha Temple. No 100 Pari Nivas 1st Main 2nd Cross A Block AECS Layout Kundalahalli, BLR 560037",12.9650152,77.712156,Dodda Nekkundi,9,Others,Others,NULL,Open,0
3/18/2019 9:13,85,Silt and garbage on the road since 15 days,Silt and garbage on the road since 15 days,155,10,"Immanuel Community Church F1, Petra Harmony Petra Harmony, 39, 60 Feet Rd, Vaikuntam Layout, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",NULL,12.9578457,77.7144283,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,5
3/19/2019 8:47,85,Garbage,"There is garbage every where , only if I complain that week people will come to pick up , then next what will happen",155,10,"Varthur Rd, Near Marathahalli Flyover, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India","Railway track , next to purva fountain and lions hospital",12.9584823,77.7056738,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,5
3/19/2019 8:56,85,No railway barricade,"There is not railway barricade at all , this is 5 time I am mentioning , every month somebody dies there . And there is so much garbage on both the sides of the railway track , even under the bridge there is no barricade , that is the place hundreds of people cross the track to reach Marathalli bridge because it's faster , it should be closed , plus debris lying around that area .",42,NULL,"Varthur Rd, Near Marathahalli Flyover, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Near lions hospital and purva fountain square,12.9584823,77.7056738,Dodda Nekkundi,9,Others,Others,NULL,Open,1
3/19/2019 20:30,85,Service road near Jeevika hospital is marked one-way but no one f...,Service road near Jeevika hospital is marked one-way but no one follows it,67,10,"Jeevika Hospital, # 95/3, Marathalli Outer Ring Road, Anand Nagar, Doddanekundi, Chinnapanna Halli, Bengaluru, Karnataka, India",NULL,12.9659818,77.7025763,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
3/22/2019 9:34,85,Silt and garbage on road,Silt and garbage on road,155,10,"F1, Petra Harmony, 39, 60 Feet Rd, Vaikuntam Layout, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",NULL,12.95765827,77.71445026,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
3/22/2019 19:13,85,Dead dog in this area on road,Dead dog in this area on road,76,10,"103, Kundalahalli, Whitefield, Bengaluru, Karnataka 560066, India",NULL,12.9720962,77.72100806,Dodda Nekkundi,19,Animal Husbandry,Removal Of Dead Animals,BBMP,Resolved,4
3/22/2019 19:33,85,Too many bumpy potholes in this road. someone has dug up road but...,"Too many bumpy potholes in this road. someone has dug up road but not correctly asphalted it. please help

this is in road which is in front of Rudra arts academy which is parallel to AECS LAYOUT main road.",67,10,"83, 1St Main Rd, Aecs Layout - A Block, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560037, India",NULL,12.9644086,77.7115731,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,2
3/24/2019 18:15,85,Karthik Nagar park has. reached a condition where all the plants...,Karthik Nagar park has. reached a condition where all the plants are dying and all the investment made long back is in vein,85,10,"3, 6Th Main Rd, Nisarga Layout, Doddanekundi, Marathahalli, Bengaluru, Karnataka 560037, India",NULL,12.9684273,77.6978095,Dodda Nekkundi,22,Parks & Recreation,Maintenance Of existing Parks,BBMP,Resolved,2
3/24/2019 19:59,85,In front of ragam mega stores and Rohan Mihira in AECS layout the...,In front of ragam mega stores and Rohan Mihira in AECS layout there is a stretch of bad road which is not asphalted,67,10,"Sai Shruthi Building, Hanuma Reddy Layout, Chinnapanna Halli, Bengaluru, Karnataka 560037, India",NULL,12.96358824,77.7084285,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,1
3/25/2019 18:40,85,The Alpine eco road which is recently placed with medians is to b...,"The Alpine eco road which is recently placed with medians is to be made properly.The sides of the road is full of potholes, sand filled with gutters causing the two wheelers to get skidded easily.the medians are placed in this road of not enough width ,and half of the section is filled with potholes which makes the driving hectic on this road. Requested first to clean up the road and then place the median",66,10,"Alpine Eco Road, Ferns City, Doddanekkundi, Bengaluru, Karnataka, India",NULL,12.9729185,77.701504,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,2
3/28/2019 11:09,85,Entry Road to Chinnappanahalli Lake is blocked,Entry Road to Chinnappanahalli Lake is blocked by the Land Owner. Other path via 4th cross is unusable because of rocks and mud. BBMP should properly provide path for Chinnappanahalli residents to use Chinnappanahalli Lake.,189,5,"Chinnappanahalli, Hanuma Reddy Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Road to Chinnappanahalli Lake,12.96913794,77.70645253,Dodda Nekkundi,21,Traffic and Road Safety,One Way/No Entry,BTP,Rejected,1
3/30/2019 11:06,85,Irregular garbage collection,"The residents are not aware when the garbage collectors come, as they don't use whistles anymore. We don't know if they even come or not. We wait for them every morning, but there is no sign of them. So we end up storing garbage inside the house, which leads to unhygienic flies inside.",442,10,"5Th Main Rd, Wasa Layout, Bengaluru, Karnataka, India",Near SBI,12.9707191,77.6980569,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Collection Of Door-to-door Garbage,BBMP,Resolved,2
04-06-2019 18:45,85,The Outer Ring Road service road at the Doddanekundi exit has som...,The Outer Ring Road service road at the Doddanekundi exit has some very dangerous and deep potholes. They must be repaired ASAP before an accident occurs.,66,10,"Sy No 24/3, Mahadevapura Post, Doddenakkundi, Ferns City Road, Ferns City, Doddanekkundi, Bengaluru, Karnataka 560037, India",NULL,12.9790433,77.6981673,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,2
04-08-2019 10:26,85,I had complained about this spot earlier(request no 10844803 and...,"I had complained about this spot earlier(request no 10844803 and request no 10845950)on 31/03/19 I received a message ""resolved and closed"" this is same garbage,same spot , today  ,still stands unresolved ?",155,10,"Immanuel Community Church F1, Petra Harmony Petra Harmony, 39, 60 Feet Rd, Vaikuntam Layout, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",NULL,12.9577192,77.7144992,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,3
04-10-2019 16:33,85,Very big pot hole near Vydehi circle signal,Very big pot hole near Vydehi circle signal which causes more traffic and difficult to cross the 25 sec signal,66,10,"#95, Vydehi Circle, Itpl Main Rd, Vijayanagar, Epip Zone, Whitefield, Bengaluru, Karnataka 560066, India",Near to Airtel showroom,12.9760107,77.7268792,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,6
4/14/2019 5:47,85,The whole area of Doddenakundi every now and then the power is go...,"The whole area of Doddenakundi every now and then the power is going and the public is struggling to sleep after whole day tedious work. it's really pathetic condition in this sophisticated world our India is not at all favouring the public even after taking money from public and not giving facilities to them.Today it's a new year day and no power.
please do the needful immediately.",62,10,"Doddanekundi Main, Gururaja Layout, Doddanekundi, Marathahalli, Bengaluru, Karnataka, India",NULL,12.9695963,77.6936982,Dodda Nekkundi,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,Resolved,5
4/18/2019 10:07,85,Garbage lying around,Garbage is lying around week after week nobody picks up the Garbage on time,155,10,"2851, Itpl Bypass Road, Doddanekkundi Extension, Friends Layout, Bengaluru, Karnataka 560037, India",Entire lane which leads to the school,12.9715496,77.704302,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,6
05-03-2019 11:31,85,BWSSB fails residents after collecting Kaver connectioni charges,"The residents and businesses, providing many jobs, are facing severe hardship due to no Kaveri water connection. Residents have been paying property taxes since 2006, yet we have not received any roads, or water connection. All Borewells in the layout, have gone dry and water tankers are charging exorbitant amounts to supply water. Last year the BWSSB issued notices and threatened, all residents and apartments, with blocking of sewage lines, if they did not apply and pay the charges to BWSSB for Kaveri water connection. Almost 60% owners and apartments have paid the demand charges of BWSSB. Others are waiting for BWSSB to put the Main Kaveri water line, into the layout, as they don't trust thr BWSSB, to keep their commitment. BWSSB, started the work and immediately stopped the laying of the main water line. When contacted, they are blaming the BBMP for not giving road cutting permission. This is all rubbish excuses. Even our local people representatives, are showing no concern for the hardship faced by the citizens. The situation, due to summer is now alarming. I urge our local leaders to kindly look into the matter and clear unnecessary bottlenecks, cause by people with vested interests. 

General Secretary SSLOA",182,2,"Spice Garden Layout, Lakshminarayana Pura, Aecs Layout, Chinnapanna Halli, Bengaluru, Karnataka 560037, India",Spice Garden Layout,12.9580044,77.7089009,Dodda Nekkundi,23,Water Supply and Services,Regular Water Supply,BWSSB,Open,0
